Canton,2014,2015,2016,2017,2018
Abangares,44,44,66,76,61
Acosta,35,19,28,32,35
Alajuela,1107,1255,1327,1224,1249
Alajuelita,94,74,131,87,109
Alvarado,16,18,25,26,22
Aserrí,109,129,143,127,110
Atenas,89,133,138,118,115
Bagaces,50,37,66,54,38
Barva,72,62,85,64,70
Belén,113,162,141,158,127
Buenos Aires,81,111,109,126,94
Cañas,83,80,103,91,83
Carrillo,65,90,109,92,95
Cartago,488,451,510,482,519
Corredores,95,108,117,90,99
Coto Brus,55,60,49,44,54
Curridabat,214,246,254,233,260
Desamparados,493,562,567,611,555
Dota,13,19,16,18,24
El Guarco,76,88,86,91,81
Escazú,276,236,291,290,291
Esparza,169,169,147,154,176
Flores,71,91,104,84,93
Garabito,101,96,162,136,138
Goicoechea,403,412,437,385,411
Golfito,46,73,73,68,81
Grecia,231,232,295,242,254
Guácimo,82,109,127,120,125
Guatuso,5,25,34,31,19
Heredia,667,667,740,636,590
Hojancha,25,15,17,13,13
Jiménez,29,27,32,33,31
La Cruz,22,29,55,41,49
La Unión,153,155,212,178,173
León Cortés,9,11,16,20,26
Liberia,136,177,204,150,167
Limón,185,213,293,251,209
Los Chiles,23,34,52,43,44
Matina,68,100,125,123,100
Montes de Oca,208,211,264,238,209
Montes de Oro,40,48,64,68,57
Mora,94,101,103,111,112
Moravia,142,177,195,156,161
Nandayure,17,26,30,22,31
Naranjo,124,129,174,198,176
Nicoya,181,185,210,193,254
Oreamuno,77,82,97,85,79
Orotina,125,128,134,135,148
Osa,106,144,133,98,132
Palmares,75,84,102,90,112
Paraíso,130,108,126,126,105
Parrita,43,46,54,49,65
Pérez Zeledón,438,536,533,554,501
Poás,51,40,59,54,46
Pococí,404,481,513,502,415
Puntarenas,394,416,466,496,520
Puriscal,107,83,113,93,85
Quepos,70,65,104,86,96
San Carlos,278,345,404,383,374
San Isidro,34,43,38,38,37
San José,1768,1755,1985,1778,1869
San Mateo,12,16,24,23,17
San Pablo,71,77,79,55,72
San Rafael,71,74,96,81,59
San Ramón,208,252,326,330,282
Santa Ana,227,213,270,259,255
Santa Bárbara,53,55,57,58,59
Santa Cruz,111,162,145,189,206
Santo Domingo,183,185,192,175,178
Sarapiquí,234,274,325,298,259
Siquirres,151,167,208,189,151
Talamanca,45,45,65,45,68
Tarrazú,15,13,28,40,22
Tibás,199,210,237,212,211
Tilarán,25,17,27,23,36
Turrialba,168,176,218,199,177
Turrubares,8,7,14,17,11
Upala,63,58,82,54,85
Valverde Vega,41,43,57,44,27
Vázquez de Coronado,113,121,152,137,166
Zarcero,28,33,48,38,27
Total,13025,14050,16037,14861,14742
